pagename,post_id,comment_id,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6
wsj,8304333127_10156666865033128,10156666865033128_10156668798723128,3,0,0,0,0,0
wsj,8304333127_10156668072748128,10156668072748128_1065990040170456,0,0,0,0,3,0
wsj,8304333127_10156668072748128,10156668072748128_1065993970170063,0,0,0,0,3,0
wsj,8304333127_10156668072748128,10156668072748128_116416582384883,0,0,0,0,3,0
wsj,8304333127_10156668072748128,10156668072748128_117302365605329,0,0,0,0,3,0
wsj,8304333127_10156668072748128,10156668072748128_118612725482884,0,0,0,0,2,1
wsj,8304333127_10156668072748128,10156668072748128_119183625414100,1,1,1,0,1,1
wsj,8304333127_10156668072748128,10156668072748128_119358842077185,0,0,0,0,1,2
wsj,8304333127_10156668072748128,10156668072748128_119493632066145,0,0,0,0,3,0
wsj,8304333127_10156668072748128,10156668072748128_120047402038138,0,0,0,0,1,2
wsj,8304333127_10156668072748128,10156668072748128_120261428638947,0,0,0,0,1,2
wsj,8304333127_10156668072748128,10156668072748128_125663298090781,0,0,0,0,2,1
wsj,8304333127_10156668072748128,10156668072748128_130077634400448,0,0,0,0,3,0
wsj,8304333127_10156668072748128,10156668072748128_131769714134165,0,0,0,0,0,3
wsj,8304333127_10156668072748128,10156668072748128_131895077450217,0,0,0,0,3,0
wsj,8304333127_10156668072748128,10156668072748128_134280113874860,0,0,0,0,3,0
wsj,8304333127_10156668072748128,10156668072748128_1343989355723600,0,0,0,0,0,3
wsj,8304333127_10156668072748128,10156668072748128_135629747059384,0,0,0,0,0,3
wsj,8304333127_10156668072748128,10156668072748128_1361766627255842,0,0,0,0,0,3
wsj,8304333127_10156668072748128,10156668072748128_1376773032420044,0,0,0,0,3,0
wsj,8304333127_10156668072748128,10156668072748128_1406443002805378,0,0,0,0,2,1
wsj,8304333127_10156668072748128,10156668072748128_140856223193694,0,0,0,0,0,3
wsj,8304333127_10156668072748128,10156668072748128_142817556332728,0,0,0,0,3,0
wsj,8304333127_10156668072748128,10156668072748128_1459215180810503,0,0,0,0,3,0
wsj,8304333127_10156668072748128,10156668072748128_1469191526501635,0,0,0,0,3,1
wsj,8304333127_10156668072748128,10156668072748128_1483138451732199,0,0,0,0,2,1
wsj,8304333127_10156668072748128,10156668072748128_1521701247917325,0,0,0,0,0,3
wsj,8304333127_10156668072748128,10156668072748128_1528920020520147,0,0,0,0,1,2
wsj,8304333127_10156668072748128,10156668072748128_1533788170043317,0,0,0,0,0,3
wsj,8304333127_10156668072748128,10156668072748128_161394614442840,0,0,0,0,2,1
wsj,8304333127_10156668072748128,10156668072748128_1616934551714802,0,0,0,0,3,0
wsj,8304333127_10156668072748128,10156668072748128_1639865796085761,0,0,0,0,3,0
wsj,8304333127_10156668072748128,10156668072748128_164254420820294,0,0,0,0,2,1
wsj,8304333127_10156668072748128,10156668072748128_170551150177123,0,0,0,0,0,3
wsj,8304333127_10156668072748128,10156668072748128_173087196582523,0,0,0,0,3,1
wsj,8304333127_10156668072748128,10156668072748128_173391026554487,0,0,0,0,3,0
wsj,8304333127_10156668072748128,10156668072748128_1742203112741039,0,0,0,0,3,0
wsj,8304333127_10156668072748128,10156668072748128_175100193049085,0,0,0,0,1,2
wsj,8304333127_10156668072748128,10156668072748128_177326489506484,0,0,0,0,3,0
wsj,8304333127_10156668072748128,10156668072748128_179640862607057,0,0,0,0,0,3
wsj,8304333127_10156668072748128,10156668072748128_1829958440355121,0,0,0,0,2,1
wsj,8304333127_10156668072748128,10156668072748128_1870869163231971,0,0,0,0,0,3
wsj,8304333127_10156668072748128,10156668072748128_189526804924126,0,0,0,0,3,0
wsj,8304333127_10156668072748128,10156668072748128_1923421831208902,0,0,0,0,0,3
wsj,8304333127_10156668072748128,10156668072748128_1923894017859073,0,0,0,0,2,1
wsj,8304333127_10156668072748128,10156668072748128_1928300974090514,0,0,0,0,0,3
wsj,8304333127_10156668072748128,10156668072748128_1930180140638059,1,1,1,1,3,0
wsj,8304333127_10156668072748128,10156668072748128_1946604975598196,0,0,0,0,3,0
wsj,8304333127_10156668072748128,10156668072748128_1949648355258776,0,0,0,0,0,3
wsj,8304333127_10156668072748128,10156668072748128_2013384668885454,0,0,0,0,3,0
wsj,8304333127_10156668072748128,10156668072748128_2020550928177971,0,0,0,0,3,0
wsj,8304333127_10156668072748128,10156668072748128_2024021564493988,0,0,0,0,0,3
wsj,8304333127_10156668072748128,10156668072748128_2048537332035095,0,0,0,0,3,0
wsj,8304333127_10156668072748128,10156668072748128_2097373427157378,0,0,0,0,3,0
wsj,8304333127_10156668072748128,10156668072748128_211028549433318,0,0,0,0,3,0
wsj,8304333127_10156668072748128,10156668072748128_232405377287408,0,0,0,0,3,0
wsj,8304333127_10156668072748128,10156668072748128_2438650336361009,0,0,0,0,3,0
wsj,8304333127_10156668072748128,10156668072748128_266343793874044,0,0,0,0,1,3
wsj,8304333127_10156668072748128,10156668072748128_269694376874532,0,0,0,0,0,3
wsj,8304333127_10156668072748128,10156668072748128_276573686190582,0,0,0,0,0,3
wsj,8304333127_10156668072748128,10156668072748128_277730349412075,0,0,0,0,3,0
wsj,8304333127_10156668072748128,10156668072748128_278768289277416,0,0,0,0,3,0
wsj,8304333127_10156668072748128,10156668072748128_304315626643527,0,0,0,0,3,0
wsj,8304333127_10156668072748128,10156668072748128_305024219971854,0,0,0,0,2,1
wsj,8304333127_10156668072748128,10156668072748128_317292028746160,0,0,0,0,3,0
wsj,8304333127_10156668072748128,10156668072748128_339340879852679,0,0,0,0,0,3
wsj,8304333127_10156668072748128,10156668072748128_341384829622448,0,0,0,0,3,0
wsj,8304333127_10156668072748128,10156668072748128_342870806159156,0,0,0,0,2,1
wsj,8304333127_10156668072748128,10156668072748128_342966556149581,0,0,0,0,1,2
wsj,8304333127_10156668072748128,10156668072748128_346589599127331,0,0,0,0,1,3
wsj,8304333127_10156668072748128,10156668072748128_347563812355878,0,0,0,0,2,1
wsj,8304333127_10156668072748128,10156668072748128_352798541835907,0,0,0,0,3,0
wsj,8304333127_10156668072748128,10156668072748128_366242437122403,0,0,0,0,1,2
wsj,8304333127_10156668072748128,10156668072748128_368045473646271,0,0,0,0,0,3
wsj,8304333127_10156668072748128,10156668072748128_368583440245185,0,0,0,0,3,0
wsj,8304333127_10156668072748128,10156668072748128_369713840129257,0,0,0,0,3,0
wsj,8304333127_10156668072748128,10156668072748128_432337537161495,0,0,0,0,3,0
wsj,8304333127_10156668072748128,10156668072748128_449408182126523,0,0,0,0,3,0
wsj,8304333127_10156668072748128,10156668072748128_457797007953991,0,0,0,0,0,3
wsj,8304333127_10156668072748128,10156668072748128_464831927232395,0,0,0,0,3,0
wsj,8304333127_10156668072748128,10156668072748128_466161180437728,0,0,0,0,3,0
wsj,8304333127_10156668072748128,10156668072748128_482545285449002,0,0,0,0,3,0
wsj,8304333127_10156668072748128,10156668072748128_489358128101501,0,0,0,0,1,2
wsj,8304333127_10156668072748128,10156668072748128_489913654706246,0,0,0,0,0,3
wsj,8304333127_10156668072748128,10156668072748128_491531494556697,0,0,0,0,2,2
wsj,8304333127_10156668072748128,10156668072748128_507473616255701,0,0,0,0,3,0
wsj,8304333127_10156668072748128,10156668072748128_509283816092340,0,0,0,0,3,0
wsj,8304333127_10156668072748128,10156668072748128_512323959113345,0,0,0,0,2,1
wsj,8304333127_10156668072748128,10156668072748128_522234371459817,0,0,0,0,3,0
wsj,8304333127_10156668072748128,10156668072748128_529601867385992,0,0,0,0,2,1
wsj,8304333127_10156668072748128,10156668072748128_604572199931478,0,0,0,0,2,1
wsj,8304333127_10156668072748128,10156668072748128_668971703311927,0,0,0,0,2,1
wsj,8304333127_10156668072748128,10156668072748128_694623984075445,0,0,0,0,3,0
wsj,8304333127_10156668072748128,10156668072748128_862768080557120,0,0,0,0,3,0
wsj,8304333127_10156668072748128,10156668072748128_862791797221415,0,0,0,0,2,1
wsj,8304333127_10156668072748128,10156668072748128_874328612724805,0,0,0,0,0,3
wsj,8304333127_10156668072748128,10156668072748128_891292057704515,0,0,0,0,0,3
wsj,8304333127_10156679738118128,10156679738118128_10156687732623128,0,0,0,0,3,0
wsj,8304333127_10156687011648128,10156687011648128_10156687360538128,1,0,0,0,2,0
wsj,8304333127_10156687011648128,10156687011648128_10156687459603128,1,1,1,0,2,0
